昵称,性别,地区,评论
假如把晨星吞下,保密,安徽,我也感觉女主送芽芽去医院不是故意拖延，一个是有人提到说，医生的说法是一个月前就该来，肯定是根据病情推断的，而不是真的一定拖了一个月。而最开始的声音问家属病情有多久了，家属（女主）的说法是不知道。虽然感觉女主有精神问题，但是也没疯到连女儿生病都搞不清楚，并且她明显时时关注女儿（经常拍照留念），说不定可能是一开始有一点点症状或者没有症状，被当成普通的汗疹之类的东西无视了，就是诅咒的问题恶化的特别快，女主被吓到了才会说出不知道多久这种话吧。
黑白csgo,保密,湖南,奉劝各位赶紧存 别又跟那两个实况一样绝版[辣眼睛][辣眼睛][辣眼睛]
becky4real,女,江苏,真是史一样的剧情 看了和没看差不多
雨宫沢川,女,湖北,女主是有老公还是单身生育啊，我看也有那种一个人找的精子库生的娃，自己带，单身生育，如果有芽芽爸那他在干什么。
夏天与柠檬茶绝配,保密,山东,刷到白鹤童子游街老帅了，才想起来cc的咒实况还没看
枫叶二月红红红,保密,海南,我就知道会看到C菌的咒。圆圆的东西奉上[doge_金箍]
Joseph1ne001,男,广东,意思后面要把电影补了对吧，两个小时打通了，故事剧情有点悲惨
Mysahkiller,保密,中国香港,挺失望的，不论是吓人的方式还是没头没脑的剧情都有点无语，不如电影有意思
闫佳涵,保密,河南,最后一幕是小女孩利用佛母把女主控制了？
山河辞雪,男,河北,反弹
三岁的秀儿山羊,男,山东,游戏比电影更有感觉诶
城悲凉,男,重庆,所以国内什么时候能再出一部超越還願的恐怖游戏，有兴趣的就是这部和港诡2，结果这部有电影背书还能做成这样，港诡2可能这辈子都没希望了，redcandle也不知道還願事件后还会不会出游戏
账号已注销,保密,广东,全村都会0帧起手是吧
纳泽川,保密,甘肃,说句实话我在看电影的时候就被气得不轻，整个电影看下来最讨厌的就是女主（真的），本来还想游戏可能会打布丁，结果看完之后对女主的厌恶再度加剧了……是真神经啊[笑哭]
Lost_O2,保密,广西,好莫名其妙的游戏   没电影好
粉色海豹王心宜,女,广东,还可以的 有点逃生2内味了
生滅如螢,保密,江苏,这游戏太晕了
软糖da,女,辽宁,看过电影的看这个游戏真的感觉很不错，可能是知道一些这个村子信仰方面的问题，就没有感觉那么云里雾里。感觉游戏时间线应该是电影里三个主角来过村子后，和电影里女主回村前，中间那一段时间发生的故事。
西兰Ceylan,男,海南,放火玩的更有节目效果[脱单doge]
付耶叶,保密,北京,感觉还得是devotion[doge_金箍]
OneMartian,男,重庆,请问有打码吗不敢看
Noir我们喜欢你,保密,重庆,我心疼婆婆 这女主太魔怔了我受不了 我真的厌蠢症犯了
不只是蔷薇,保密,上海,全是jumpscare低如脂[翻白眼]
山河辞雪,男,河北,反弹反弹
洛拉尼亚,男,重庆,卧槽这个有游戏了
玩碎了,保密,河北,Up到底是男是女啊，我真的听不出来[笑哭]
我框框炫十碗大米饭,保密,福建,你们如果想看原版电影的话，可能电视上手机上都看不到，因为太恐怖被下架了。你们可以去百度上看哦[给心心]
游离不知mym,保密,山西,刷到别的虚拟主播直播看c菌的视频一路找过来的。声音真的太好听了www
丘陵本陵,女,江西,看到第二章了，全程都在想这里的人的精神状态都这么糟糕，那该怎么参与生产劳动，该靠什么活下去啊[笑哭]
橘子味汽水和可乐,保密,湖北,看过电影只觉得有点污染
芜湖大肉丸,男,山西,这么多年了还是那个恐怖游戏有感觉啊
橘叶jojo,女,上海,这是cc第666个视频诶[脸红][脸红]
避尘锁圣,男,江苏,哈~有点机车哦~
IFBO_offics2,男,广西,up是男的还是女的？嗓音有点特别
能睡就不要醒,保密,中国台湾,電影劇情分兩個時間線，一個是六年前若男主角團到陳家村打開地道放佛母出來的劇情，這就是為何遊戲中村里人都變得相當怪異的原因。另一個則是六年後若男找回自己的孩子樂瞳，最後回到陳家村地道的劇情。而這個遊戲的時間線就發生在這六年間，所以很多人看不懂是正常的，前因後果都在電影裡比較清楚，建議大家可以去看一下電影。
79岁清纯少女,女,天津,@夏天y 王哥玩
Lio颯亚亚,女,贵州,故事还是非常不错的，至少缕得清楚也比较流畅，算是一款不错的恐游了。氛围真心很恐怖，我一个人的时候看得背脊发凉，我是不敢玩了了，只敢看看实况哈哈
海伊德大人,保密,广东,开放式结局？
抽儿,保密,广东,谢谢cc带来长篇实况！
珉林子格丶,女,湖南,看起来挺想玩的
小迅鑫,男,广东,大黑佛母手办都出了[笑哭]
配药,女,山东,后面什么意思 不明白[微笑]
-忒弥斯-,保密,广西,说起来女主的丈夫到底谁啊是不是从头到尾没提到过。。
嗡嗡嗡oi,女,陕西,搜不到原版电影，好想看[笑哭]
青墨浅曦,男,浙江,这游戏的配音好强
